Sector,October,November,December,January,February,March,April,May,June,July,August,September
Big Bend,530,421,373,433,484,660,575,493,415,280,295,329
,697,603,477,473,383,357,413,552,378,492,563,614
Del Rio,1119,897,697,1234,1245,1874,1791,1718,1326,767,1095,931
,2106,1880,1817,1243,1104,746,589,740,761,760,798,932
El Centro,2589,2412,2196,2688,2836,4408,3419,3126,2440,2331,2075,2042
,2441,1850,1870,1796,1196,871,849,1134,1280,1478,1880,1988
El Paso,1007,894,725,1124,1140,1528,1359,1380,1005,725,732,632
,3973,4105,3948,2779,1575,978,906,1032,1180,1395,1782,1540
Laredo,2613,2130,1802,2526,3173,4433,4528,3813,3475,1857,2819,2118
,3350,3194,2460,2265,1710,1256,1304,1722,1839,2120,2143,2097
Rio Grande Valley,4236,3688,2987,3658,4845,7141,7139,7477,5595,3832,5329,3839
,22642,24686,23418,15580,7855,4147,3942,4882,5817,7107,8650,8836
San Diego,5017,4738,4636,6413,6982,9061,7115,5858,5092,5113,4528,4012
,2934,2947,3099,2927,1808,1356,1392,1724,1652,1764,2241,2242
Tucson,23197,16986,10907,16122,21266,31197,28579,22572,13160,10303,9280,8633
,5924,5912,4303,3357,2589,2148,1487,2199,2632,2177,2913,3016
Yuma,582,649,711,586,819,1059,732,608,447,401,262,260
,2117,2034,1859,1156,534,336,245,534,548,894,1318,1272